Frame,BodyCount,Joint#1_X,Joint#1_Y,Joint#1_Z,Joint#2_X,Joint#2_Y,Joint#2_Z,Joint#3_X,Joint#3_Y,Joint#3_Z,Joint#4_X,Joint#4_Y,Joint#4_Z,Joint#5_X,Joint#5_Y,Joint#5_Z,Joint#6_X,Joint#6_Y,Joint#6_Z,Joint#7_X,Joint#7_Y,Joint#7_Z,Joint#8_X,Joint#8_Y,Joint#8_Z,Joint#9_X,Joint#9_Y,Joint#9_Z,Joint#10_X,Joint#10_Y,Joint#10_Z,Joint#11_X,Joint#11_Y,Joint#11_Z,Joint#12_X,Joint#12_Y,Joint#12_Z,Joint#13_X,Joint#13_Y,Joint#13_Z,Joint#14_X,Joint#14_Y,Joint#14_Z,Joint#15_X,Joint#15_Y,Joint#15_Z,Joint#16_X,Joint#16_Y,Joint#16_Z,Joint#17_X,Joint#17_Y,Joint#17_Z,Joint#18_X,Joint#18_Y,Joint#18_Z,Joint#19_X,Joint#19_Y,Joint#19_Z,Joint#20_X,Joint#20_Y,Joint#20_Z,Joint#21_X,Joint#21_Y,Joint#21_Z,Joint#22_X,Joint#22_Y,Joint#22_Z,Joint#23_X,Joint#23_Y,Joint#23_Z,Joint#24_X,Joint#24_Y,Joint#24_Z,Joint#25_X,Joint#25_Y,Joint#25_Z
0,0,-2.02242,0.287562,3.60954,-2.04292,0.502536,3.58934,-2.05756,0.713395,3.55871,-2.10436,0.839515,3.57582,-2.40581,0.281804,3.56032,-2.33857,0.503705,3.54254,-2.26951,0.72364,3.53201,-2.26654,0.745725,3.52465,-1.96918,0.758038,3.54582,-1.86984,0.612789,3.5211,-2.02345,0.444227,3.51332,-2.03325,0.386295,3.52975,-2.048,0.261244,3.58316,-1.83648,0.0352268,3.54966,-1.90943,-0.276569,3.32966,-1.90205,-0.296255,3.20905,-1.96705,0.310246,3.58319,-1.94653,0.0105375,3.55085,-1.89843,-0.269823,3.52232,-1.86418,-0.216987,3.39813,-2.05471,0.659508,3.56792,-2.27072,0.798132,3.51076,-2.34911,0.712901,3.54375,-2.03383,0.33191,3.50251,-2.01287,0.34803,3.52271
,1
,2
,3
,4
,5
1,0,-2.04072,0.281799,3.60991,-2.05388,0.495892,3.59208,-2.06467,0.710456,3.56562,-2.09391,0.837939,3.57725,-2.4874,0.300395,3.56461,-2.37214,0.503656,3.55594,-2.31354,0.7261,3.53704,-2.28012,0.793643,3.53904,-1.95219,0.702539,3.54655,-1.90521,0.485307,3.53304,-2.06064,0.431406,3.50209,-2.04337,0.381867,3.52557,-2.07577,0.258467,3.5853,-1.8331,0.0641826,3.54711,-1.90483,-0.251491,3.33236,-1.89869,-0.270856,3.2117,-1.97829,0.301055,3.58249,-1.93256,0.00287422,3.55077,-1.88588,-0.278071,3.52867,-1.85656,-0.223442,3.40447,-2.06294,0.657432,3.57384,-2.26384,0.841912,3.51229,-2.31906,0.793515,3.54527,-2.04832,0.329475,3.52751,-2.03456,0.402507,3.50909
,1
,2
,3
,4
,5
2,0,-2.03945,0.283822,3.60885,-2.05355,0.496854,3.59193,-2.06406,0.707,3.56695,-2.0922,0.834587,3.57895,-2.48717,0.299325,3.56499,-2.36977,0.501443,3.55675,-2.31331,0.723852,3.52967,-2.32003,0.811038,3.52367,-1.95555,0.728028,3.54579,-1.90891,0.498244,3.53312,-2.0502,0.414325,3.49661,-2.03422,0.380514,3.53469,-2.07039,0.260378,3.58238,-1.96318,-0.0247371,3.55132,-2.00038,-0.319229,3.29967,-1.99157,-0.335005,3.17863,-1.97863,0.303104,3.58235,-1.92273,0.006095,3.55204,-1.88698,-0.276259,3.52956,-1.85803,-0.222048,3.40508,-2.06244,0.655264,3.57473,-2.32683,0.868651,3.52602,-2.34733,0.794417,3.53275,-2.03262,0.336455,3.52627,-2.03931,0.410094,3.5178
,1
,2
,3
,4
,5
